
Note: Compatibility modes selected: hs a


Circuit: * sar-logic-timing-gates-xl @ ff_125c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
clk                                          0
xl_start                                   3.3
xl_mode                                      0
xxl._030_                                  3.3
xxl.eng3                           4.27298e-08
vdd_gate                                   3.3
xxl._031_                                  3.3
xxl._032_                          6.90246e-08
xxl.ph_2                                   3.3
xxl._033_                                  3.3
xxl.ph_0                           4.27298e-08
xxl._034_                          6.90246e-08
xxl.ph_1                                   3.3
xxl._035_                          6.90246e-08
xxl.ph_3                                   3.3
xxl._036_                                  3.3
xxl.eng4                           4.27298e-08
xxl._037_                                  3.3
xxl.eng5                           4.27298e-08
xxl._038_                                  3.3
xxl.eng6                           4.27298e-08
xxl._039_                                  3.3
xxl.eng7                           4.27298e-08
xxl._040_                                  3.3
xxl.eng8                           4.27298e-08
xxl._041_                                  3.3
xxl.eng9                           4.27298e-08
xxl._042_                                  3.3
xxl.eng2                           4.27298e-08
xxl._043_                          6.90246e-08
xxl.ph_12                                  3.3
xxl._044_                                  3.3
xxl.eng1                           4.27298e-08
xxl._045_                          6.90246e-08
xxl.ph_13                                  3.3
xxl._046_                          6.90246e-08
xxl.ph_11                                  3.3
xxl._047_                          6.90246e-08
xxl.ph_10                                  3.3
xxl._048_                          6.90246e-08
xxl.ph_9                                   3.3
xxl._049_                          6.90246e-08
xxl.ph_8                                   3.3
xxl._050_                          6.90246e-08
xxl.ph_7                                   3.3
xxl._051_                          6.90246e-08
xxl.ph_6                                   3.3
xxl._052_                          6.90246e-08
xxl.ph_5                                   3.3
xxl._053_                          6.90246e-08
xxl.ph_4                                   3.3
xxl._054_                          6.90246e-08
xxl.ph_14                                  3.3
xl_sel_lo_n_4p                     5.99497e-08
xxl.q3                             4.27298e-08
xxl.x_090_.net_0                           3.3
xl_sel_hi_n_4n                     1.64545e-08
xxl.x_091_.net_1                           3.3
xxl.x_091_.net_0                       3.25533
xxl.x_092_.net_1                     0.0700154
xxl.x_092_.net_0                     0.0700156
xl_samp_tp_n                               3.3
xxl.x_093_.z_neg                   1.03197e-08
xl_sel_in_n                                3.3
xxl.x_093_.net_0                       3.24434
xxl.x_093_.net_1                       3.24434
xxl.x_093_.net_2                       3.28261
xl_rel_n_4p                         7.1888e-08
xxl.x_094_.net_0                      0.859959
xxl.x_095_.net_0                   5.35814e-08
xl_rel_n_4n                        1.07235e-07
xxl.x_095_.net_1                      0.842696
xxl.x_096_.net_0                     0.0727585
xxl.x_096_.z_neg                           3.3
xl_sel_hi_n_4p                      4.2881e-08
xxl.x_097_.net_0                     0.0727585
xxl.q4                             4.27298e-08
xxl.x_097_.z_neg                           3.3
xl_sel_hi_n_8p                      4.2881e-08
xxl.x_098_.net_0                     0.0727584
xxl.x_098_.z_neg                           3.3
xl_sel_lo_n_8n                      4.2881e-08
xl_sel_lo_n_8p                     7.18881e-08
xxl.x_099_.net_0                      0.859959
xl_sel_hi_n_8n                     1.66258e-08
xxl.x_100_.net_1                       3.25614
xxl.x_100_.net_0                       3.25614
xl_rel_n_8p                         7.1888e-08
xxl.x_101_.net_0                      0.859959
xxl.x_102_.net_0                   5.35814e-08
xl_rel_n_8n                        1.07235e-07
xxl.x_102_.net_1                      0.842696
xxl.x_103_.net_0                     0.0727585
xxl.q5                             4.27298e-08
xxl.x_103_.z_neg                           3.3
xl_sel_hi_n_16p                     4.2881e-08
xxl.x_104_.net_0                     0.0727584
xxl.x_104_.z_neg                           3.3
xl_sel_lo_n_16n                     4.2881e-08
xl_sel_lo_n_16p                    7.18881e-08
xxl.x_105_.net_0                      0.859959
xl_sel_hi_n_16n                    1.66258e-08
xxl.x_106_.net_1                       3.25614
xxl.x_106_.net_0                       3.25614
xl_rel_n_16p                        7.1888e-08
xxl.x_107_.net_0                      0.859959
xxl.x_108_.net_0                   5.35814e-08
xl_rel_n_16n                       1.07235e-07
xxl.x_108_.net_1                      0.842696
xxl.x_109_.net_0                     0.0727585
xxl.q6                             4.27298e-08
xxl.x_109_.z_neg                           3.3
xl_sel_hi_n_32p                     4.2881e-08
xxl.x_110_.net_0                     0.0727584
xxl.x_110_.z_neg                           3.3
xl_sel_lo_n_32n                     4.2881e-08
xl_sel_lo_n_32p                    7.18881e-08
xxl.x_111_.net_0                      0.859959
